'Ref_name','codes','Did','years','last_n','first_n','dob','dod'
H.Beaumont,D,HB,@1929-1947,Beaumont,Harry,1888,1966
H.Becker,D,Hbe,@1979-1989,Becker,Harold,,
J.Becker,WD,JqB,@1942-1960,Becker,Jacques,1906,1960
Bedford,D,TeB,@1983,Bedford,Terry,,
Beebe,DPW,FoB,@1938-1954,Beebe,Ford,,
Beineix,D,JJB,@1981-1988,Beineix,Jean-Jacques,,
Belikov,D,MiB,@1989,Bilikov,Mikhael,,
Bekolo,D,JPB,@1993,Bekolo,Jean-Pierre,19xx,
Mo.Bell,D,MoB,@1925,Bell,Monta,,
Mt.Bell,D,MtB,@1984-1993,Bell,Martin,,
Bellamy,D,EBy,@1966-1977,Bellamy,Earl,,
Bellocchio,WD,MBe,@1965-1994,Bellocchio,Marco,1941,
Belson,D,JBs,@1982,Belson,Jerry,,
Belvaux,AD,RBx,@1992,Belvaux,Remy,19xx,
Benacerraf,D,MBc,@1958,Benacerraf,Margot,,
P.Benchley,BW,,"1975,1977",Benchley,Peter,1940,
Benedek,D,LaB,@1954,Benedek,Laszlo,,
Benegal,D,ShB,@1970,Benegal,Shyam,1935,
Benigni,AWD,RrB,@1992,Benigni,Roberto,19xx,
Benjamin,D,RiB,@1982-1993,Benjamin,Richard,,
Benner,D,RBn,@1977,Benner,Richard,,
Bennet,D,SGB,@1930-1965,Bennett,Spencer Gordon,1893,
A.Bennett,WD,AaB,@1964-1993,Bennett,Alan,1934,
C.Bennett,ED,CoB,@1945-1965,Compton-Bennett,Robert,1900,1974
H.Bennett,PW,,1986,Bennett,Harve,,
S.G.Bennett,D,SGB,@1943-1965,Bennett,Spencer Gordon,,
Benoit,D,JWB,@1990,Benoit,Jaques W.,,
BenoitLevy,D,JBL,@1933-1943,Benoit-Lévy,Jean,1883,1959
Bentley,D,ThB,@1930-1941,Bentley,Thomas,1880,195x
Benton,WVD,RBe,@1970-1994,Benton,Robert,1932,
Beresford,D,BrB,@1976-1991,Beresford,Bruce,,
Berg,D,PBe,@1998,Berg,Peter,,
Berger,D,LuB,@1922-1950,Berger,Ludwig,1892,1969
A.Bergman,WD,AnB,@1981-1996,Bergman,Andrew,,
D.Bergman,D,DnB,@1994,Bergman,Daniel,,
I.Bergman,DWP,InB,@1956-1982,Bergman,Ingmar,,
Bergstein,D,ElB,@1987,Bergstein,Eleanor,,
Berke,D,WlB,@1945-1952,Berke,William,,
Berkeley,GMD,BBe,@1935-1949,Enos,William `Busby',1895,1976
Berliner,D,ABe,@1997,Berliner,Alain,19xx,199x
Berlanga,D,LGB,@1952,Berlanga,Luis Garcia,19xx,
Berman,P,,1945-1949,Berman,Pandro S.,1905,
Bernasconi,D,SBe,@1980,Bernasconi,Stephane,19xx,
Bernds,WD,EBe,@1951-1962,Bernds,Edward,,
Bernhardt,DP,CuB,@1920-1964,Bernhardt,Curtis (Kurt),1899,1981
Sid Bernstein,P,,,Bernstein,Lord Sidney,1899,
Berovici,D,LBv,@1995,Berovici,Luca,19xx,199x
W.Bernstein,D,WaB,@1980,Bernstein,Walter,,
Cl.Berri,WD,CB,@1964-1988,Berri,Claude,1934,
Berry,D,IBe,@1945-1978,Berry,John,1917,
Bertolucci,WD,BB,@1962-1987,Bertolucci,Bernardo,1940,
Besson,D,LBe,@1978-1994,Besson,Luc,1960,
Beyer,D,FBe,@1966,Beyer,Frank,,
Beyer,D,TBe,@1998,Beyer,Tony,,
Bianchi,D,EBi,@1980,Bianchi9,Edward,,
A.Biberman,AD,AbB,@1956-1957,Biberman,Abner,1900,1977
H.Biberman,DWP,HJB,@1935-1969,Biberman,Herbert J.,1900,1971
Bierman,D,RBi,@1989,Bierman,Robert,19xx,
Bigat,WDM,TBi,@1989,Bigat,Tony,,
Bigelow,D,KBg,@1985,Bigelow,Kathryn,,
Bigood,D,JBi,@1971,Bigood,Jim,,
Bijl,D,JbB,@1992,Bijl,Jacob,,
Bill,D,TBl,@1980-1993,Bill,Tony,,
Billington,D,KBi,@1968-1971,Billington,Kevin,,
Billon,D,PBi,@1943,Billon,Pierre,19xx,
Bilson,D,BBi,@1979,Bilson,Bruce,,
Binder,D,MBi,@1993,Binder,Mike,19xx,
Birch,D,PaB,@1982,Birch,Patricia,,
Bird,D,AtB,@1998,Bird,Antonia,,
Birdwell,D,RuB,@1957,Birdwell,Russell,19xx,
Birkin,D,ABi,@1988-1994,Birkin,Andrew,,
Bischoff,P,,1936,Bischoff,Samuel,1890,1975
Bitzer,C,,1908-1931,Bitzer,G.W.,,
E.Black,D,EdB,@1938,Black,Edward,,
N.Black,D,NoB,@1968-1983,Black,Noel,,
Blackburn,DA,RBl,@1974,Blackburn,Richard,19xx,
Blackton,D,ISB,@1910,Blackton,J.Stuart,19xx,
Blackwood,CWDP,CBl,@1961-1992,Blackwood,Christan,1942,1992
Blair,D,LeB,@1993,Blair,Les,19xx,
Blake,D,BKB,@1938,Blake,Ben K.,,
Blanc,AWD,MBl,@1985,Blanc,Michel,,
Blanche,D,HBl,@1920,Blanche,Herbert,,
Blanke,P,,1936-1960,Blanke,Henry,,
Blanks,D,JBk,@1998,Blanks,Jamie,,
Blatt,D,EAB,@1945,Blatt,Edward A.,,
Bleckner,D,JfB,@1998,Bleckner,Jeff,,
Bn.Blier,AD,BnB,@1967,Blier,Bernard,1916,
Bt.Blier,D,BtB,@1962-1978,Blier,Bertrand,1939,
Bliss,D,ByB,@1983,Bliss,Barry,,
Robert Bloch,BW,1960-1971,@1911,Bloch,Robert,1918,1994
Blom,D,AuB,@1911,Blom,August,,
Bloom,D,JeB,@1981,Bloom,Jeffrey,,
Bloomfield,D,GBl,@1972-1980,Bloomfield,George,,
Bluth,VDP,DBl,@1986-1994,Bluth,Don,,
Blystone,AD,IGB,@1925-1938,Blystone,John G.,1892,1938
Bochner,AD,HtB,@1994,Bochner,Hart,19xx,
Bodrov,D,SBo,@1997,Bodrov,Sergeitd>,199x,
Boetticher,D,BBo,@1944-1969,Boetticher,"Oscar, Budd",1916,
H.Bogart,P,,,Bogart,Humphrey DeForest,1899,1957
P.Bogart,D,PlB,@1968-1975,Bogart,Paul,1919,
Bogayevicz,D,YuB,@1993,Bogayevicz,Yurek,19xx,
Bogdanovich,DPW,PBo,@1968-1981,Bogdanovich,Peter,1939,
Bogeaus,P,,@1952-1954,Benedict,Bogeaus,,
Bogner,D,WBo,@1980,Bogner,Willy,,
Boivin,D,JBo,@1993,Boivin,Jerome,19xx,
Boleslawski,D,RyB,@1917-1937,Srzednick,Ryszart Boleslaw,1889,1937
Bolognini,D,MBn,@1974,Bolognini,Mauro,,
Bolvary,D,GzB,@1928,Bolvary,Geza,,
Bolotin,D,CrB,@1992,Bolotin,Craig,19xx,
Bondartchuk,AD,SB,@1959-1982,Bondartchuk,Sergei,1920,
Bonnard,D,MBo,@1960,Bonnard,Mario,,
Boorman,D,IBo,@1965-1981,Boorman,John,1933,
Borman,D,ABo,@1993,Borman,Arthur,19xx,
Booth,D,WRB,@1901,Booth,G.R.,,
Borowczyck,WD,WBz,@1967-1981,Borowczyck,Walerian,1923,
Borsos,DW,PB,@1983-1994,Borsos,Phillip,,
Borzage,D,FB,@1920-1959,Borzage,Frank,1893,1962
J.Boulting,WPD,IBt,@1937-1979,Boulting,John,1913,1985
R.Boulting,WDP,RBt,1944-1979,Boulting,Roy,1913,
Bouzagio,D,HBo,@1988,Bouzagio,Haim,,
Bourgignon,D,SBg,@1969,Bourgignon,Serge,,199x
Bowen,D,JrB,@1988,Bowen,Jerry,19xx,
Bowers,D,GBo,@1980-1983,Bowers,George,,
B.Box,P,,1948-1974,Box,Betty E.,1920,
Box,WPD,MuB,@1952-1964,Box,Muriel,1905,
S.Box,WP,,1946-1955,Box,Sidney,1907,1983
D.Boyd,D,DBd,@1981,Boyd,Don,,
Dan.Boyd,D,DlB,@1990,Boyd,Daniel,,
Boyle,D,DBo,@1996,Boyle,Danny,,199x
J.Boyd,D,JBd,@1985,Boyd,Julianne,,
Bozetto,D,BBz,@1990,Bozetto,Brono,,
Brabin,D,ChB,@1918-1934,Brabin,Charles,1883,1957
Brackett,WP,,1939-1959,Brackett,Charles,,
Leigh Brackett,W,,1945,Brackett,Leigh,,
Ray Bradbury,W,,1956,Bradbury,Ray,1920,
Bradley,D,DBy,@1941-1964,Bradley,David,1919,
Brady,P,,,Brady,William A.,,
A.Bragaglia,D,AB,@1916,Bragaglia,Anton Giulio,,
C.Bragaglia,D,CLB,@1950,Bragaglia,Carlo Ludovico,,
Brahm,D,IB,@1930-1967,Brahm,Hans (John),1893,1982
Brambilla,D,MBb,@1993-1997,Brambilla,Marco,19xx,
Branagh,ADP,KBr,@1989-1996,Branagh,Kenneth,,
Brandauer,D,KaB,@1990,Brandauer,Karin,1945,
Brando,AD,MBd,@1961,Brando,Marlon,,
Brannon,D,FBr,@1949-1952,Brannon,Fred,,
Brault,D,MlB,@1980,Brault,Michel,,
Brass,D,TBs,@1940-1989,Brass,Tinto,,
B Brecht,B,,1932,Brecht,Bertolt,1898,1956
Breer,D,EmB,@1991,Breer,Emily,19xx,
M.Bregman,PW,,1980-1992,Bergman,Martin,,
M.B.Bregman,P,,1983,Bregman,Michael B.,19xx,
Breillat,D,CaB,@1989,Breillat,Catherine,,
Brelis,D,TBr,@1994,Brelis,Tia,19xx,
Brenon,DAP,HBn,@1913-1931,Brenon,Herbert,1880,1958
Bresson,D,RtB,@1943-1983,Bresson,Robert,,
Brest,D,MBr,@1979-1988,Brest,Martin,,
Bretherton,D,HoB,@1927-1950,Bretherton,Howard,1896,1969
Breuer,W,,1985,Breuer,Lee,,
Bricken,D,JuB,@1956-1957,Bricken,Jules,,
Cubby,P,,@1954-,Broccoli,Albert R.,1909,1996
M.Brickman,WDP,MBm,@1980,Brickman,Marshall,1941,199x
P.Brickman,WPD,PBm,@1983-1989,Brickman,Paul,1949,199x
Bridges,WD,JaB,@1970-1989,Bridges,James,1928,
Brignone,D,GuB,@1926,Brignone,Guido,19xx,
Brill,WD,SvB,@1995,Brill,Steven,19xx,
Brisseau,D,JCB,@1992,Brisseau,Jean-Claude,,
Brode,D,HMB,@1989,Brode,Henrijk M.,,
Brook,D,PeB,@1952-1970,Brook,Sir Peter,1925,
A.Brooks,ADW,ABr,@1985,Brooks,Albert,,
B.Brooks,D,BBr,@1980,Brooks,Bob,,
Joe Brooks,WD,JBr,@1977,Brooks,Joseph,,
J.L.Brooks,WPD,JLB,@1983,Brooks,James L. (Jim),1941,
Mel Brooks,WDPA,MB,@1969-,Kaminsky,Melvin,1926,
R.Brooks,BWDP,RcB,@1950-1982,Brooks,Richard,1912,1992
Broomfield,D,NBr,@1991-1998,Broomfield,Nick,,
Bross,D,EBr,@1998,Bross,Eric,,
Ba.Brown,D,BaB,@1979,Brown,Barry,,
Br.Brown,WPDC,BBw,@1966-1994,Brown,Bruce,,
Cl.Brown,DP,CBw,@1920-1951,Brown,Clarence,1890,
D.Brown,P,,1969-1990,Brown,David,,
J.Brown,D,JBw,@1965,Brown,James,,
K.Browning,D,KBw,@1985,Browning,Kirk,,
T.Browning,D,TB,@1918-1939,Browning,Tod,1882,
Bruckman,WD,CBm,@1927-1935,Bruckman,Clyde,1895,1955
Jerry Bruckheimer,P,id,1997,Bruckheimer,Jerry,,199x
Brunel,D,AdB,@1921-1940,Brunel,Adrian,1892,1958
Bryant,D,BBy,@1980,Bryant,Bruce,,
C.Bryant,D,CBy,@1922,Bryant,Charles,,
Buchan,B,,,Buchan,John,1875,1940
Buchanan,DW,LBn,@1966-1981,Buchanan,Larry,,
Buchowetzski,D,DBu,@1924,Buchowetzski,Dimitri,,
Buck,DA,FBu,@1932-1942,Buck,Frank,1888,1950
Buckhantz,D,ABz,@1983,Buckhantz,Alan,,
Bucksey,D,CBu,@1988-1990,Bucksey,Colin,,
Buckner,D,NBu,@1984,Buckner,Noel,,
Bucquet,D,HBu,@1939-1945,Bucquet,Harold S.,1891,1946
Bugajski,D,RzB,@1982,Bugajski,Ryszard,,
Bunin,PD,LBu,@1951,Bunin,Louis,,
Bunuel,WD,LB,@1928-1977,Buñuel,Luis,1900,1983
Buntzman,DP,MBu,@1984,Buntzman,Mark,,
Burge,D,StB,@1960-1970,Burge,Stuart,1918,
Burke,D,MnB,@1981,Burke,Martyn,,
Burks,C,,1944-1967,Burks,Robert,1910,1968
Burnett,WD,CBt,@1977-1997,Burnett,Charles,,
A.Burns,WD,ABu,@1986,Burns,Allan,,
E.Burns,AWD,EBu,@1995,Burns,Ed,1968,
K.Burns,D,KBu,@1974-1997,Burns,Ken,1954,
Burstall,D,TBu,@1981,Burstall,Tim,,
D.Burton,D,DBr,@1934-1940,Burton,David,,
T.Burton,D,TiB,@1985-1997,Burton,Tim,1959,
Niven Busch,WB,,1934-1956,Busch,Niven,1903,1991
Buscemi,AWD,SBu,@1996,Buscemi,Steve,1958,
Busnell,D,WHB,@1989,Busnell,William H.,,
D.Butler,ADP,DaB,@1927-1967,Butler,David,1894,1979
G.Butler,DA,GeB,@1976-1989,Butler,George,,
R.Butler,D,RBu,@1978-1984,Butler,Robert,,
Buzzell,ADW,EBz,@1932-1961,Buzzell,Edward,1897,
Byrum,D,IBy,@1980-1984,Byrum,John,,
Caan,AD,JsC,@1980,Caan,James,,
Cabanne,D,CCb,@1940,Cabanne,Christy,,
Cacoyannis,D,MCy,@1953-1976,Cacoyannis,Michael,1922,
Cadiff,D,ACf,@1997,Cadiff,Andy,19xx,199x
E.L.Cahn,D,ELC,@1931-1963,Cahn,Edward L.,1899,1963
Sammy Cahn,M,,@1940-1963,Cahn,Sammy,1913,1992
J.M.Cain,B,,1933-1968,Cain,James M.,1892,
Caiozzi,WDP,SCz,@1990,Caiozzi,Silvio,19xx,
Callow,D,SCa,@1991,Callow,Simon,,
Camerini,D,xCm,@1933,Camerini,Mario,,
J.Cameron,VDWP,JCm,@1978-1994,Cameron,James,1955,
K.Cameron,D,KCm,@1992,Cameron,Ken,,
Cammell,D,DCa,@1969-1977,Cammell,Donald,,
Camp,D,JCp,@1981-1982,Camp,Joe,,
Campanella,D,JJC,@1998,Campanella,Juan J.,,
Campanile,D,PFC,@1970-1971,Campanile,Pasquale Festa,,
C.Campbell,D,CoC,@1914,Campbell,Colin,,
M.Campbell,D,MtC,@1994-1998,Campbell,Martin,,
Campion,D,JCi,@1984-1993,Campion,Jane,,
Camus,D,MCm,@1958,Camus,Marcel,1912,1982
Cannon,D,DCn,@1995-1998,Cannon,Danny,,1980
Capra,D,FC,@1926,Capra,Frank Chico,1897,1991
Capuano,D,ACp,@1991,Capuano,Antonio,19xx,
Carax,D,LCa,@1985,Carax,Léos,,
Carewe,D,ECa,@1915-1934,Fox,"Jay (Edwin, Arthur Edmund)",1883,1940
Cardiff,CDP,JCa,@1958-1976,Cardiff,Jack,1914,
Cardona,D,RCj,@1977-1980,Cardona,René jr.,,
Cardos,D,ICd,@1979,Cardos,John,,
Cardoza,D,AnC,@1979,Cardoza,Anthony,,
Carlsen,D,HCn,@1992,Carlsen,Henning,,
Carlei,WD,CCa,@1993-1995,Carlei,Carlo,19xx,
Carlino,D,LIC,@1976-1983,Carlino,Lewis John,,
Carne,DW,MC,@1936-1971,Carné,Marcel,1903,
Caron,DW,GGC,@1994,Caron,Glenn Gordon,19xx,
Caros,D,IBC,@1992,Caros,John `Bud',19xx,
Carow,D,HCa,@1989,Carow,Heiner,,
Carpenter,DP,ICa,@1974-1998,Carpenter,John,,
Carr,D,HoC,@1953,Carr,Howard,,
Carra,PD,LuC,@1992,Carra,Lucille,,
Carreras,D,MlC,@1966,Carreras,Michael,,
Carriere,WP,,1962-1982,Carriere,Jean-Claude,1931,
Carstairs,D,IPC,@1939-1961,Keys,John Paddy,1912,1970
Carter,D,CrC,@1998,Carter,Chris,,
P.Carter,D,PeC,@1984,Carter,Peter,,
T.Carter,D,ThC,@1970-1993,Carter,Thomas,,
H.Carver,D,HPC,@1930,Carver,H.P.,,
S.Carver,D,StC,@1974,Carver,Steve,,
JCassavetes,ADWP,ICs,@1961-1983,Cassavetes,John,1929,1989
NCassavetes,D,NCs,@1997,Cassavetes,Nick,19xx,1980
