Acteur_ID,Acteurs,Act_CDB,Act_CDF,Act_Prenoms,Act_Noms,Act_Sx,Act_DDN,Act_DDD,Act_Prf,Act_Orig
100029,Julie Adams,1947,1981,S{Betty May (Julia),Adams,F,1926,199x,R:soft,Am
100030,Robert Adams,1935,1947,Robert,Adams,M,1906,199x,R:black,WI
100031,Sam Adams,,,Sam,Adams,M,,199x,R:comic,
100032,Tome Adams,1963,1975,Tome,Adams,M,1938,199x,R:burly,Br
100033,Max Showalter,1950,1971,Casey,Adams,M,1904,199x,R:reporter,Br
100034,Nick Adams,1952,1967,Nicholas,Adamschock,M,1931,1968,R:neurotic aggressive lead,Am
100035,Dawn Addams,1951,1977,Dawn,Addams,F,1930,1985,R:smart,Br
100036,Wesley Addy,1951,1982,Wesley,Addy,M,1912,1997,R:humourless,Am
100037,Isabelle Adjani,1971,1983,Isabelle,Adjani,F,1955,199x,R:lead,Fr-Ge
100038,Jay Adler,1938,1965,Jay,Adler,M,1899,1978,R:character,Am
100039,Luther Adler,1937,1981,Lutha,Adler,M,1903,1984,R:heavy,Am
100040,Mario Adorf,1959,1981,Mario,Adorf,M,1930,199x,R:European films,Zw
100041,Jan Sterling,1948,1979,Jan Sterling,Adriance,F,1923,199x,R:lead,Am
100042,John Agar,1948,1976,John,Agar,M,1921,199x,R:lead,Am
100043,Rati Agnihotri,1985,,Rati,Agnihotri,F,1960,199x,R:modern dancer,In
100044,Jenny Agutter,1964,1981,Jenny,Agutter,F,1952,199x,R:lead,Br
100045,Brian Aherne,1924,1967,Brian,Aherne,M,1902,1986,R:gentle lead,Br
100046,Philip Ahn,1936,1975,Philip,Ahn,M,1911,1978,R:Asiatic,Am
100047,Richard Ainley,1936,1949,Richard,Ainley,M,1910,1967,RU:,Br
100048,Maria Aitkins,1989,,Maria,Aitkins,F,,199x,RU:,Un
100049,Franklyn Ajaye,1976,1978,Franklyn,Ajaye,M,1949,199x,RU:,Am
100050,Muriel Aked,1922,1953,Muriel,Aked,F,1887,1955,R:comedy spinster,Br
100051,Claude Akins,1953,1979,Claude,Akins,M,1918,1994,R:western villain,Am
100052,Serap Aksoy,1991,,Serap,Aksoy,F,,199x,R:sr,Tu
100053,Romy Schneider,1953,1980,Rosemarie,Albach-Retty,F,1938,1982,R:schmaltzy,Os
100054,Josh Albee,1979,,Josh,Albee,M,,199x,RU:,Un
100055,Anna Maria Alberghetti,1951,1960,Anna Maria,Alberghetti,F,1936,199x,R:singer,It
100056,Han Albers,1923,1960,Han,Albers,M,1892,199x,R:lead,Ge
100057,Allan Rocky' Lane,1932,1964,Harry,Albershart,M,1901,1973,R:cowboy star,Am
100058,Edward Albert,1965,1982,Edward,Albert,M,1951,199x,R:light,Am
100059,William Albert,1982,,William,Albert,M,,199x,RU:,Un
100060,Mabel Albertson,1939,1970,Mabel,Albertson,F,1901,1982,R:nosey neighbour,Am
100061,Frank Albertson,1928,1963,Frank,Albertson,M,1907,1981,R:straight,Am
100062,Jack Albertson,1947,1978,Jack,Albertson,M,1907,1981,R:character,Am
100063,Hardie Albright,1931,1957,Hardy,Albrecht,M,1903,1971,R:underused lead,Am
100064,Peter Arne,1955,1982,Peter Arne,Albrecht,M,1920,1983,R:villain,Br
100065,Lola Albright,1949,1968,Lola,Albright,F,1925,199x,R:stylish,Am
100066,Rutanya Alda,1978,1982,Rutanya,Alda,F,,199x,RU:,Un
100067,Alan Alda,1963,1982,Alan,Alda,M,1936,199x,R:lead,Am
100068,John Alderton,1964,1976,John,Alderton,M,1940,199x,R:light lead,Br
100069,Gale Gordon,1942,1968,Gaylord,Aldrich,M,1905,199x,R:plump,Am
100070,Vera Alentova,1980,,Vera,Alentova,F,,199x,RU:,Un
100071,Katherine Alexander,1934,1949,Katherine,Alexander,F,1901,1981,R:sympathetic,Am
100072,Ben Alexander,1917,1957,Nicholas Benton,Alexander,M,1911,1969,R:boy actor,Am
100073,John Alexander,1936,1960,John,Alexander,M,1901,1982,R:portly,Am
100074,Ross Alexander,1932,1937,Ross,Alexander,M,1907,1937,R:lead,Am
100075,Terence Alexander,1951,1979,Terence,Alexander,M,1923,199x,R:ineffectual,Br
100076,Sandy Alexander,1983,,Sandy,Alexander,,,199x,RU:,Un
100077,Hope AlexanderWells,,,Hope,AlexanderWells,F,,199x,RU:,Un
100078,Dorothy Alison,1952,1972,Dorothy,Alison,F,1925,199x,RU:,Au
100079,Andrea Allan,,,Andrea,Allan,F,1946,199x,RU:,Un
100080,Elizabeth Allan,1931,1958,Elizabeth,Allan,F,1908,199x,R:delicate or aristocratic heroines,Br
100081,William Alland,1941,1961,William,Alland,M,1916,199x,R:enquiring reporter,Am
100082,Catherine Allegret,1965,,Catherine,Allegret,F,,199x,RU:,Fr
100083,Gracie Allen,1933,1944,Gracie,Allen,F,1902,1964,R:scatterbrained comedienne,Am
100084,Karen Allen,1978,1982,Karen,Allen,F,1955,199x,R:lead,Am
100085,Nancy Allen,1973,1983,Nancy,Allen,F,1954,199x,R:lead,Am
100086,Judith Evelyn,1954,1959,J.E.,Allen,F,1913,1967,R:neurotic woman,Am
100087,Mary Jerrold,1931,1952,Mary,Allen,F,1877,1955,R:character,Br
100088,Chesney Allen,1935,1944,Chesney,Allen,M,1894,1982,R:light comedian,Br
100089,Patrick Allen,1955,1982,Patrick,Allen,M,1927,199x,R:lead,Br
100090,Steve Allen,1949,1989,Steve,Allen,M,1921,199x,R:dry comic,Am
100091,Joseph Allen jr.,,,Joseph,Allen jr.,M,1899,1995,RU:,Am
100092,Kirstie Alley,1982,1990,Kirstie,Alley,F,,199x,R:spunky,Am
100093,Sara Allgood,1918,1950,Sara,Allgood,F,1883,1950,R:amiable,Ir
100094,Maire ONeill,1930,1952,Maire,Allgood,F,1885,1952,R:character,Ir
100095,Astrid Allwyn,1932,1943,Astrid,Allwyn,F,1909,1978,R:lead,Sw
100096,Pedro Almodovar,,,Pedro,Almodovar,M,1949,199x,R:wild,Sp
100097,Corinne Alphen,1983,,Corinne,Alphen,F,,199x,R:beauty,Un
100098,Alida Valli,1936,1982,Alida Maria,Altenburger,F,1921,199x,R:starchy beauty,It
100099,Rita Moreno,1950,1983,Rosita Dolores,Alverio,F,1931,199x,R:actress-dancer,PR
100100,Kirk Alyn,1942,1950,Kirk,Alyn,M,1910,199x,R:lead,Am
100101,Betty Amann,,,Betty,Amann,F,,199x,RU:,Un
100102,Leonora Amar,,,Leonora,Amar,F,,199x,RU:,Un
100103,Lucio Amelio,,,Lucio,Amelio,M,,199x,RU:,Un
100104,Don Ameche,1936,1983,Dominic Felix,Amici,M,1908,1993,R:pleasant hero,Am
100105,Suzy Amis,1993,,Suzy,Amis,F,1962,199x,R:handsome,Am
100106,John Amos,,,John,Amos,M,,199x,RU:,Un
100107,John Amplas,,,John,Amplas,M,,199x,RU:,Un
100108,Dev Anand,1958,1980,Dev,Anand,M,,199x,R:hero,In dian
100109,Luana Anders,1958,1982,Luana,Anders,F,1949,199x,R:lead,Am
100110,Merry Anders,1952,1958,Merry,Anders,F,1932,199x,R:light lead,Am
100111,Glenn Anders,1930,1951,Glenn,Anders,M,1889,1981,R:sinister,Am
100112,Bridgette Andersen,,,Bridgette,Andersen,F,,199x,RU:,Un
100113,Melissa Sue Anderson,,,Melissa Sue,Anderson,F,,199x,RU:,Un
100114,Jean Anderson,1947,1979,Jean,Anderson,F,1908,199x,R:sympathetic nurse,Br
100115,Vivian Oakland,1958,1978,V.,Anderson,F,1895,1958,R:child,Am
100116,Harriet Anderson,1955,,Harriet,Anderson,F,,199x,R:nude villain,Sw
100117,Judith Anderson,1933,1984,Dame Frances Margaret,Anderson,F,1898,1992,R:icy presence,Au
100118,Loni Anderson,1977,,Loni,Anderson,F,1947,199x,R:sexy blonde,Am
100119,Mary Anderson,1939,1953,Mary,Anderson,F,1920,199x,R:supporting,Am
100120,Rona Anderson,1948,1969,Rona,Anderson,F,1926,199x,RU:,Br; Scots
100121,Ingrid Anderson,,,Ingrid,Anderson,F,,199x,RU:,Un
100122,John Anderson,1958,1978,John,Anderson,M,1922,199x,R:tall,Am
100123,Warner Anderson,1943,1968,Warner,Anderson,M,1911,1976,R:solid presence,Am
100124,Rochester,1930,1965,Eddie,Anderson,M,1905,1977,R:black comedian,Am
100125,Herbert Anderson,1940,1969,Herbert,Anderson,M,1917,199x,R:mild-mannered,Am
100126,Lindsay Anderson,1981,,Lindsay,Anderson,M,1923,199x,RU:,Br
100127,Michael Anderson jr.,1957,1971,Michael,Anderson,M,1943,199x,R:juvenile lead,
100128,Richard Anderson,1951,1978,Richard,Anderson,M,1926,199x,R:thoughtful-looking,Am
100129,Leif Erickson,1935,1976,William,Anderson,M,1911,1986,R:second lead,Am
100130,Adam West,1959,1978,William,Anderson,M,1929,199x,R:light lead,Am
100131,Bibi Anderson,,,Bibi,Anderson,M,,199x,R:transvestite,
100132,E. Erich Anderson,,,E. Erich,Anderson,M,,199x,RU:,Un
100133,Bibi Andersson,1955,1983,Bibi,Andersson,F,1935,199x,RU:,Sw
100134,Harriet Andersson,1952,1972,Harriet,Andersson,F,1932,199x,RU:,Am
100135,Carole Andre,,,Carole,Andre,F,,199x,RU:,Un
100136,Gabe Andre,,,Gabe,Andre,M,,199x,RU:,Un
100137,Frédŕic Andrei,,,Frédŕic,Andrei,M,,199x,RU:,Un
100138,The Andrews Sisters,1940,1948,"Patty, Maxine, Laverne",Andrews,G,1913,199x,RU:,Am
100139,Edward Andrews,1955,1979,Edward,Andrews,M,1914,199x,R:beaming,Am
100140,Anthony Andrews,1974,1981,Anthony,Andrews,M,1948,199x,R:lead,Br
100141,Dana Andrews,1940,1979,Carver Daniel,Andrews,M,1909,1992,R:hard,Am
100142,Eamonn Andrews,,,Éamonn,Andrews,M,,1987,RU:,Ct
100143,Harry Andrews,1952,1980,Harry,Andrews,M,1911,1989,R:tough,Br
100144,Stanley Andrews,1934,1958,Stanley,Andrews,M,1892,1969,R:grizzled western veteran,Am
100145,George Arliss,1921,1937,George Augustus,Andrews,M,1868,1946,R:autocratic,Br
100146,Steve Forrest,1952,1983,William Forrest,Andrews,M,1924,199x,R:lead,Am
100147,Brian Andrews,,,Brian,Andrews,M,,199x,RU:,Un
100148,Heather Angel,1930,1962,Heather,Angel,F,1909,199x,R:lead,Br
100149,Maya Angelou,1993,,Maya,Angelou,F,1929,199x,R:poet,Am
100150,Ivy Angustain,,,Ivy,Angustain,F,,199x,RU:,Un
100151,Evelyn Ankers,1933,1960,Evelyn,Ankers,F,1918,199x,R:looked decorative,Br
100152,Walter Chiari,1951,1972,Walter,Annichiarico,M,1924,1991,R:comic,It
100153,Francesca Annis,1958,1983,Francesca,Annis,F,1944,199x,R:lead,Br
100154,Michael Ansara,1944,1974,Michael,Ansara,M,1922,199x,R:Indian,Am
100155,Susan Anspach,1970,1983,Susan,Anspach,F,1939,199x,R:stage,Am
100156,Karen Anspach,,,Karen,Anspach,F,,199x,RU:,Un
100157,Adam Ant,,,Adam,Ant,M,,199x,RU:,Un
100158,Lysette Anthony,,,Lysette,Anthony,F,,199x,RU:,Un
100159,Michael Anthony,,,Michael,Anthony,M,,199x,RU:,Un
100160,Susan Anton,,,Susan,Anton,F,,199x,RU:,Un
100161,Laura Antonelli,,,Laura,Antonelli,F,,199x,RU:,Un
100162,Lou Antonio,,,Lou,Antonio,M,,199x,RU:,Un
100163,Scott Antony,1972,1974,Scott,Antony,M,1950,199x,R:lead juvenile,Br
100164,Robert Goulet,1963,1980,Stanley,Applebaum,M,1933,199x,R:lead,Ca
100165,Alfonso Arau,,,Alfonso,Arau,M,,199x,RU:,Un
100166,Roscoe Abuckle,1913,1921,Roscoe (Fatty),Arbuckle,M,1887,1933,R:comic,Am
100167,Allan Arbus,,,Allan,Arbus,M,,199x,RU:,Un
100168,Anne Archer,1970,1982,Anne,Archer,F,,199x,R:lead,Am
100169,Fanny Ardant,1981,1984,Fanny,Ardant,F,1949,199x,R:lead,Fr
100170,Carmen Argenziano,,,Carmen,Argenziano,F,,199x,RU:,Un
100171,Alan Arkin,1966,1983,Alan,Arkin,M,1934,199x,R:lead,Am
100172,Adam Arkin,,,Adam,Arkin,M,,199x,RU:,Un
100173,David Arkin,,,David,Arkin,M,,199x,RU:,Un
100174,Pedro Armendariz,1936,1963,Pedro,Armendariz,M,1912,1963,R:expansive,Me
100175,Henry Armetta,1918,1946,Henry,Armetta,M,1888,1945,R:excitable,It
100176,Bess Armstrong,1982,1983,Bess,Armstrong,F,,199x,R:lead,Am
100177,Louis Armstrong,1936,1969,Louis `Satchmo',Armstrong,M,1900,1971,R:black jazz musician,Am
100178,R.G. Armstrong,1958,1982,R.G.,Armstrong,M,1920,199x,R:tough serious,Am
100179,Todd Armstrong,1962,1968,Todd,Armstrong,M,1939,199x,R:stalwart lead,Am
100180,Curtis Armstrong,,,Curtis,Armstrong,M,,199x,RU:,Un
100181,Yvonne Arnaud,1920,1958,Yvonne,Arnaud,F,1892,1958,RU:,Fr
100182,Lucie Arnaz,1975,1983,Lucie,Arnaz,F,1951,199x,R:lead,
100183,Desi Arnaz jr.,1970,1983,Desi,Arnaz,M,1953,199x,R:juvenile lead,Am
100184,Desi Arnaz,1950,1982,Desiderio,Arnaz y de Acha,M,1915,1986,R:diminutive explosive romantic,Cu
100185,Jeanetta Arnette,,,Jeanetta,Arnette,F,,199x,RU:,Un
100186,Mark Arnott,,,Mark,Arnott,M,,199x,RU:,Un
100187,Charles Arnt,1934,1962,Charles,Arnt,M,1908,199x,R:snoop,Am
100188,G.M. Anderson,1903,1965,Max,Aronson,M,1882,1971,R:cowboy,Am
100189,Rosanna Arquette,,,Rosanna,Arquette,F,,199x,RU:,Un
100190,Antonin Artaud,1926,1928,Antonin,Artaud,M,1895,1948,R:dabbling writer,Fr
100191,Florence Vidor,1921,1929,Florence,Arto,F,1895,1977,R:lead,Am
100192,Linda Arvidson,1908,1916,Linda,Arvidson-Griffith,F,1884,1949,R:lead,Am
100193,Leslie Ash,,,Leslie,Ash,F,,199x,RU:,Un
100194,Peggy Ashcroft,1933,1978,Dame Peggy,Ashcroft,F,1907,1991,R:royal,Br
100195,Jane Asher,1951,1972,Jane,Asher,F,1946,199x,R:lead,Br
100196,Renèe Asherson,1944,1968,Ren,Asherson,F,1920,199x,RU:,Br
100197,Jennifer Ashley,,,Jennifer,Ashley,F,,199x,RU:,Un
100198,John Ashley,,,John,Ashley,M,,199x,RU:,Un
100199,Gregoire Asian,,,Gregoire,Asian,M,,199x,RU:,Un
100200,Luke Askew,1967,1979,Luke,Askew,M,,199x,R:western,Am
100201,Arthur Askey,1937,1972,Arthur,Askey,M,1900,1982,R:diminutive,Br
100202,Ed Asner,1963,1983,Edward,Asner,M,1929,199x,R:chubby tough,Am
100203,Chuck Aspegren,,,Chuck,Aspegren,M,,199x,RU:,Un
100204,Armand Assante,,,Armand,Assante,M,,199x,RU:,Un
100205,Adele Astaire,,,Adele,Astaire,M,,1981,RU:,Ct
100206,Nils Asther,1927,1963,Nils,Asther,M,1897,1981,R:suave,Sw
100207,John Astin,1961,1977,John,Astin,M,1930,199x,R:comic,Am
100208,Gertrude Astor,1927,1962,Gertrude,Astor,F,1887,1977,R:silent screen,Am
100209,Dolores delRio,1925,1967,Dolores,Asunsolo,F,1905,1983,R:aristocratic,Me
100210,William Atherton,1972,1983,William,Atherton,M,1947,199x,RU:,Am
100211,Eileen Atkins,1968,1983,Eileen,Atkins,F,1934,199x,R:character,Br
100212,Christopher Atkins,1980,1983,Christopher,Atkins,M,1961,199x,R:juvenile lead,Am
100213,Richard Attenborough,1942,1979,Sir Richard,Attenborough,M,1923,199x,R:coward,Br
100214,Malcolm Atterbury,1954,1964,Malcolm,Atterbury,M,1907,199x,R:character,Am
100215,Edith Atwater,1936,1976,Edith,Atwater,F,1911,199x,R:lead,Am
100216,Lionel Atwill,1919,1946,Lionel,Atwill,M,1885,1946,R:teutonic villains,Br
100217,Kim Atwood,,,Kim,Atwood,M,,199x,RU:,Un
100218,Brigitte Auber,1955,,Brigitte,Auber,F,,199x,RU:,Un
100219,Rene Auberjonois,1970,1980,René,Auberjonois,M,1940,199x,R:character,Am
100220,Lenore Aubert,1938,1949,Leonore,Aubert,F,1913,199x,R:sinister,Yu
100221,Joss Auckland,,,Joss,Auckland,M,,199x,RU:,Un
100222,Maxine Audley,1954,1969,Maxine,Audley,F,1923,199x,R:character,Br
100223,Stephane Audran,1958,1982,Stéphane,Audran,F,1932,199x,R:cool,Fr
100224,Seena Owen,1916,1929,Signe,Auen,F,1894,1966,R:lead,Am
100225,Claudine Auger,1963,1980,Claudine,Auger,F,1942,199x,R:lead,Fr
100226,Peter Graves,1950,1988,Peter,Aurnes,M,1925,199x,R:suave,Am
100227,James Arness,1947,1981,James,Aurness,M,1923,199x,R:giant,Am
100228,Fred Astaire,1933,1981,Frederick,Austerlitz,M,1899,1987,R:dancer,Am
100229,John Austin,,,John,Austin,M,,199x,RU:,Un
100230,Daniel Auteuil,1985,,Daniel,Auteuil,M,,199x,RU:,Fr
100231,Gene Autry,1937,1950,Gene,Autry,M,1907,1998,R:easy-going cowboy,Am
100232,Frankie Avalon,1960,1978,Francis,Avallone,M,1939,199x,R:light lead,Am
100233,Luis Avalos,,,Luis,Avalos,M,,199x,RU:,Un
100234,Doe Avedon,1954,1956,Doe,Avedon,F,1928,199x,R:lead,Am
100235,Margaret Avery,,,Margaret,Avery,F,,199x,RU:,Un
100236,Brian Avery,,,Brian,Avery,M,,199x,RU:,Un
100237,Nina Axelrod,,,Nina,Axelrod,F,,199x,RU:,Un
100238,Hoyt Axton,,,Hoyt,Axton,M,,199x,RU:,Un
100239,Lew Ayres,1929,1972,Lewis,Ayer,M,1908,1997,R:boyish lead,Am
100240,George Ayer,,,George,Ayer,M,,199x,RU:,Un
100241,Dan Aykroyd,1980,1988,Dan,Aykroyd,M,,199x,R:comic lead,Am
100242,Felix Aylmer,1933,1968,Felix Edward,Aylmer Jones,M,1889,1979,R:schoolmasters,Br
100243,Robert Ayres,1949,1968,Robert,Ayres,M,1914,1968,R:strong,Ca
100244,Gregg Ayres,,,Gregg,Ayres,M,,199x,RU:,Un
100245,Randle Ayrton,1918,1978,Randle,Ayrton,M,1869,1940,R:character,Br
100246,Hank Azaria,,,Hank,Azaria,M,1964,199x,R:comic,Un
100247,Shabana Azmi,,,Shabana,Azmi,F,,199x,RU:,Un
100248,Charles Aznavour,1958,1976,Shahnour,Aznavurjan,M,1924,1992,R:small rugged lead,Tu
100249,Candy Azzara,,,Candy,Azzara,F,,199x,RU:,Un
100250,Barbara Bach,1977,1981,Barbara,Bach,F,1951,199x,R:lead,Ge
100251,Pamela Bach,,,Pamela,Bach,F,1962,199x,RU:,Am
100252,Amitabh Bachchan,1970,1980,Amitabh,Bachchan,M,1942,199x,R:romantic hero Am,
100253,Jim Backus,1958,1980,Jim,Backus,M,1913,1989,R:burly comedian,Am
100254,Kevin Bacon,1984,1990,Kevin,Bacon,M,,199x,RU:,Un
100255,Hermione Baddeley,1940,1964,Hermione,Baddely,F,,1986,R:sr,Ct
100256,Alan Badel,1953,1980,Alan,Badel,M,1923,1982,R:sensitive,Br
100257,Buddy Baer,1949,1961,Jacob Henry,Baer,M,1915,199x,RU:,Am
100258,Max Baer,1933,1958,Max,Baer,M,1909,1959,R:boxer,Am
100259,Harry Baer,1979,1980,Harry,Baer,M,,199x,RU:,Un
100260,Pearl Bailey,1947,1976,Pearl,Bailey,F,1918,1990,R:black singer,Am
100261,Barbara Bain,1971,1973,Barbara,Bain,F,1932,199x,R:lead,Am
100262,Fay Bainter,1934,1962,Fay,Bainter,F,1892,1968,R:stalwart matron,Am
100263,Scott Baio,1978,1982,Scott,Baio,M,1961,199x,R:teenager,Am
100264,Carrol Baker,1953,1983,Carrol,Baker,F,1931,199x,R:sex symbol,Am
100265,Diane Baker,1959,1971,Diane,Baker,F,1936,199x,R:demure,Am
100266,Hylda Baker,1960,1973,Hylda,Baker,F,1909,199x,R:comedienne,Br
100267,Josephine Baker,1927,,Josephine,Baker,F,1906,1975,R:sexy dancer,Am
100268,Margaret Dumont,1929,1964,Margaret,Baker,F,1889,1965,R:comedienne,Am
100269,Blanche Baker,1984,1990,Blanche,Baker,F,,199x,RU:,Un
100270,Kathy Baker,1987,1990,Kathy,Baker,F,,199x,R:good girl,Am
100271,Ruby Baker,1982,,Ruby,Baker,F,,199x,RU:,Un
100272,Joe Don Baker,1967,1979,Joe Don,Baker,M,1943,199x,R:tough,Am
100273,Kenny Baker,1936,1946,Kenny,Baker,M,1912,199x,R:crooner,Am
100274,Stanley Baker,1941,1975,Sir Stanley,Baker,M,1927,1976,R:virile,Br; Welsh
100275,Tom Baker,1971,1975,Tom,Baker,M,1935,199x,R:larger than life,Br
100276,Marilyn Monroe,1948,1961,Norma Jean,Baker (Mortenson),F,1926,1962,R:lively,Am
100277,Bob Balaban,1978,1966,Bob,Balaban,M,1965,199x,R:character,Am
100278,Jill Balcon,1947,,Jill,Balcon,F,1925,199x,RU:,Br
100279,Rebecca Balding,,,Rebecca,Balding,F,,199x,RU:,Un
100280,Alec Baldwin,1988,1990,Alec,Baldwin,M,195x,199x,R:peevish,
100281,Daniel Baldwin,,,Daniel,Baldwin,M,,199x,RU:,Am
100282,Stephen Baldwin,,,Stephen,Baldwin,M,1963,199x,RU:,Am
100283,William Baldwin,1989,1990,William (Billy),Baldwin,M,1963,199x,RU:,Am
100284,Adam Baldwin,1980,1989,Adam,Baldwin,M,,199x,RU:,Un
100285,Betty Balfour,1928,1945,Betty,Balfour,F,1903,199x,R:comedienne,Br
100286,Mireille Balin,1933,1937,Mireille,Balin,F,1909,1968,R:lead,Fr
100287,Irving Berlin,1943,,Israel,Baline,M,1888,199x,R:singer,Am
100288,Florinda Balkan,1970,1975,Florinda,Balkan,F,,199x,R:mistress,
100289,Lucille Ball,1933,1973,Lucille,Ball,F,1910,1989,R:comedienne,Am
100290,Vincent Ball,1956,1960,Vincent,Ball,M,,199x,RU:,Au
100291,Kay Ballard,1956,1980,Catherine (Kaye),Balotta,F,1926,199x,R:comedienne,Am
100292,Martin Balsam,1954,1982,Martin,Balsam,M,1919,199x,R:quiet,Am
100293,George Bancroft,1921,1942,George,Bancroft,M,1882,1956,R:burly,Am
100294,Antonio Banderas,,,Antonio,Banderas,M,,199x,RU:,Un
100295,Victor Banerjee,,,Victor,Banerjee,M,,199x,RU:,Un
100296,Donatas Banionis,,,Donatas,Banionis,M,,199x,RU:,Un
100297,Ben Kingsley,1982,,Krishna,Banji,M,1944,1998,R:character,Anglo-In
100298,Alex Bank,,,Alex,Bank,M,,199x,RU:,Un
100299,Tallulah Bankhead,1918,1965,Tallulah,Bankhead,F,1902,1968,R:theatrical,Am
100300,Leslie Banks,1932,1950,Leslie,Banks,M,1890,1952,R:tough sophisticate,Br
100301,Aaron Banks,,,Aaron,Banks,M,,199x,RU:,Un
100302,Ian Bannen,1955,1983,Ian,Bannen,M,1928,199x,R:effective,Br
100303,John Banner,1943,1971,John,Banner,M,1910,1973,R:German sergeant,Po-Am
100304,Catlin Adams,,,Catlin,Barab,F,1950,199x,RU:,Am
100305,Olga Baraclanova,,,Olga,Baraclanova,F,,199x,RU:,Un
100306,Christine Baranski,,,Christine,Baranski,F,,199x,RU:,Un
100307,Vanna Barba,1992,,Vanna,Barba,F,1967,199x,R:sexy,Gr
100308,Barbara Shelley,1957,1974,Shelley,Barbara,F,1933,199x,R:horror,Br|
100309,Adrienne Barbeau,1977,1982,Adrienne,Barbeau,F,1949,199x,R:lead,Am
100310,George Barbier,1924,1945,George,Barbier,M,1865,1945,R:blustery kind man,Am
100311,Joyce Barbour,1936,,Joyce,Barbour,F,,199x,RU:,Un
100312,Dave OBrien,1933,1956,David,Barclay,M,1912,1969,R:heroic victim,Am
100313,Sonny Barger,,,Sonny,Barger,M,,199x,RU:,Un
100314,Norah Baring,1928,1933,Norah,Baring,F,1907,199x,R:lead,Br
100315,Mikhail Barishnikov,1979,,Mikhail,Barishnikov,M,,199x,R:dancer,Ru
100316,Erik Barker,1937,1970,Erik,Barker,M,1912,199x,R:character,Br
100317,Ronnie Barker,1963,1979,Ronnie,Barker,M,1929,199x,R:portly,Br
100318,Lex Barker,1949,1952,Alexander,Barker,M,,199x,R:ape man,Am
100319,Ellen Barkin,1982,1989,Ellen,Barkin,F,1954,199x,R:sexy wives,Am
100320,Marcie Barkin,1975,,Marcie,Barkin,F,,199x,RU:,Un
100321,Binnie Barnes,1931,1972,Gitelle,Barnes,F,1905,1983,R:light,Br
100322,Joanna Barnes,1958,1970,Joanna,Barnes,F,1934,199x,R:cool,Am
100323,Irene Vanbrugh,1927,1937,Irene,Barnes,F,1872,1949,R:distinguished,Br
100324,Priscilla Barnes,,,Priscilla,Barnes,F,,199x,RU:,Un
100325,Jake Barnes,,,Jake,Barnes,M,,199x,RU:,Un
100326,Julian Barnes,,,Julian,Barnes,M,,199x,RU:,Un
100327,Charlie Barnett,,,Charlie,Barnett,M,,199x,RU:,Un
100328,Nella Barnier,,,Nella,Barnier,F,,199x,RU:,Un
100329,Sandy Baron,,,Sandy,Baron,,,199x,RU:,Un
