FilmRef,Film_Nom,Film_Ann,FR_nom,FP_nom,FS_nom,Process,Categorie,F_Rcp
RSp25,The World is not Enough,1999,D:Spottiswoode,PU:,SU:,prc,"Aventure, Action",
Fro28,Cleopatra,1999,D:Roddam,P:Halmi,S:ABC,"TV, miniseries",Historique,
MnB22,Pirates of Silicon Valley,1999,D:Burke,PU:,S:TNT,TV,Biopic,
BrP15,Duet,1999,D:Paltrow,PU:,SU:,prc,Comédie,
JJm13,"Ghost Dog, the Way of the Samurai",1999,D:Jarmusch,PU:,SU:,prc,"Action, Drama, Crime, Policier, Comédie",
PGr22,8 1/2 Women,1999,D:Greenaway,PU:,SU:,prc,Kink,
RoJ20,Goodbye Lover,1999,D:R.Joffe,PU:,SU:,prc,"Comédie, Noir",
Ari15,No One Writes to the Colonel,1999,D:Ripstein,PU:,SU:,prc,Drame,
JVm17,The Harmonists,1999,D:Vilsmaier,P:Vilsmaier,St:Bavariafilm SD:Miramax,Tcol,Drame,
DMa21,The Winslow Boy,1999,D:Mamet,PU:,S:Sony,prc,Drame,
MFi22,The Loss of Sexual Innocence,1999,D:Figgis,PU:,SU:,prc,Drame,
JJo10,October Sky,1999,D:Johnston,PU:,S:Universal,col,"Biopic, Drame",
KBr21,Love's Labor Lost,1999,D:Branagh,PU:,SU:,prc,Drame,
THy6,Superstar: The Karen Carpenter Story,1999,D:Haynes,PN:,SU:,prc,Comédie,aw
BJq15,The School of  Flesh,1999,D:Jacquot,PU:,SU:,prc,Drame,
JoA19,Entrapment,1999,D:Amiel,PU:,SU:,prc,Action,
LuD4,Rosetta,1999,D:Dardenne,PU:,SU:,prc,Drame,
Khi20,After Life,1999,D:Hirokazu,PU:,SU:,prc,Fantasy,
IWk10,At First Sight,1999,D:I.Winkler,PU:,SU:,prc,Drame,
MiH18,A Midsummer Nights Dream,1999,D:M.Hoffman,"PN:Leslie Urdang, M.Hoffman",S:Fox Searchlight,prc,Fantasy,
MtR10,The King and I,1999,D:M.Rich,"PN:James G. Robinson, Arthur Rankin, , Peter Bakalian",S:Warners,col,Animation,
GMK17,Hideous Kinky,1999,D:MacKinnon,PU:,SU:,prc,Drame,
IMu22,Mighty Joe Young,1999,D:Musker,PU:,St:Disney,col,Aventure,
TDe19,Life,1999,D:T.Demme,PU:,SU:,prc,Comédie,
RkK15,Blast from the Past,1999,D:R.King,PU:,S:New Line,col,Comédie,
SSo16,The Mummy,1999,D:Sommers,PU:,SU:,prc,Aventure,-
JDB15,The Haunting of Hill House,1999,D:DeBont,PU:,S:Dreamworks,prc,Drame,
AWw10,The Matrix,1999,D:Wachowski,PU:,SU:,prc,SciFi,
KSm5,Dogma,1999,D:K.Smith,PU:,SD:Miramax,prc,Comédie,
DLi13,Go,1999,D:Liman,PU:,St:Columbia,prc,Drame,
JtF3,Star Trek: The Insurrection,1999,D:Frakes,PN:Rick Berman:,St:Paramount,col,SciFi,
LOb15,Angels Alone,1999,D:Obst,PU:,S:Fox,prc,SciFi,
LWo10,Endurance,1999,D:Woodhead,"PN:Terence Malik, Woodhead",SU:,prc,Documentaire,
RaR13,Le Temps retrouve,1999,D:Ruiz,PU:,SU:,prc,Biopic,
VKo13,Herr Zwilling und Frau Zuckermann,1999,D:Koepp,PU:,SU:,prc,Documentaire,
AxP10,Election,1999,D:Payne,PU:,SU:,prc,Drame,
BHu10,Forces of Nature,1999,D:B.Hughes,"PN:Susan Arnold, Donna Arkoff Roth, Ian Bryce",St:Dreamworks,pcol,"Comédie, Romance",
BRa12,Rush Hour,1999,D:Ratner,PU:,SU:,prc,Action,
PtC10,The Love Letter,1999,D:P.Chan,"PN:Sarah Pillsbury, Mifdge Sanford, Kte Capshaw",S:Dreamworks,col,Romance,
SmW3,The General's Daughter,1999,D:S.West,PU:,SU:,prc,Drame,
TSy12,Patch Adams,1999,D:Shadyac,PU:,S:Universal,col,"Comédie, Romance",
AtB11,Ravenous,1999,D:Bird,PU:,St:Fox,prc,Horreur,
Atk12,Map of Love,1999,D:A.Tucker,PU:,S:Jagged,prc,Biopic,
BrD11,L'Humanite,1999,D:Dumont,PU:,SU:,prc,Drame,GP
FCr11,The Waterboy,1999,D:Coraci,PU:,SU:,prc,Comédie,
JGK2,Swiri,1999,D:Kan,PU:,SD:Samsung,col,Action,
JMr10,SLC Punk!,1999,D:Merendino,PU:,SU:,prc,Drame,
MJu10,Office Space,1999,D:M.Judge,PU:,SU:,col,Comédie,
nYo15,Bishonen,1999,D:Yonfan,PU:,SU:,prc,Drame,
SDv10,The Wounds,1999,D:Dragojevic,PN:Dragan Bjelogric,SD:Leisure Time,prc,Drame,
USt10,Thrane's Method,1999,D:Straume,P:Thomas Robsahm,SU:,prc,"Drame, Romance",
AGi10,Kadosh,1999,D:Gitai,PU:,SU:,prc,Drame,
ASv10,Moloch,1999,D:Sokurov,PU:,SU:,prc,Historique,
BBT10,All the Pretty Horses,1999,D:Thornton,PU:,SU:,prc,Drame,
CNo1,Following,1999,D:Nolan,PU:,SU:,bnw,Suspense,
CVe10,Iris Blond,1999,D:Verdone,PU:,SU:,prc,Drame,
DbW10,Last September,1999,D:D.Warner,PU:,SU:,prc,Drame,
DHu10,xxx,1999,D:Huffman,PU:,SU:,prc,Drame,
DLv10,Meschugge,1999,D:D.Levy,PU:,SU:,prc,"Suspense, Romance",
DMj10,Leila,1999,D:Mehrjui,PU:,SU:,prc,Drame,
DMo10,Edge of Seventeen,1999,D:Moreton,PU:,SU:,prc,Drame,
DzJ10,Photographer,1999,D:Jablonski,PU:,SU:,prc,Documentaire,
EZo10,The Dreamlife of Angels,1999,D:Zonca,PU:,SU:,prc,Romance,
GeH10,Friends & Lovers,1999,D:G.Haas,PU:,SU:,prc,Drame,
GJu1,10 Things I Hate About You,1999,D:Junger,PU:,SU:,prc,Comédie,
GRt1,"Lock, Stock, and Two Smoking Barrels",1999,D:Ritchie,PN:Matthew Vaughn,SU:,cok,"Action, Drama, Crime, Policier",
GSn10,The Bachelor,1999,D:Sinyor,P:Chris  ODonnell,SU:,prc,Comédie,
HFa1,The Minus Man,1999,D:Fancher,PU:,SU:,"town, West",Suspense,
HHm10,The Underground Orchestra,1999,D:Honigmann,PU:,SU:,prc,"Documentaire, Musicale",
JqM10,Jeanne and the Perfect Guy,1999,D:Martineau,PU:,SU:,col,Musicale,
RyG1,Ratcatcher,1999,D:Ramsay,PU:,SU:,prc,Drame,GP1
LUl10,Private Confessions,1999,D:Ullman,PU:,SU:,prc,Biopic,
PSv10,Metroland,1999,D:P.Saville,PU:,SU:,prc,Drame,
RMt10,Notting Hill,1999,D:R.Mitchell,PU:,SU:,prc,Drame,
RsG10,200 Cigarettes,1999,D:Garcia,PU:,SU:,prc,"Comédie, Romance",
RGo10,Never Been Kissed,1999,D:Gosnell,"PN:Abby Kohn, Marc Silverstein, Drew Barrymore",SU:,prc,"Comédie, Romance",
RWd10,Lenny Bruce: Swear to Tell the Truth,1999,D:Weide,PU:,SU:,prc,Documentaire,
SMf10,The Apple,1999,D:Makmalbaf,PU:,SU:,prc,Documentaire,
SWm10,The Out-of-Towners,1999,D:Weisman,PU:,SU:,prc,Comédie,
TGw10,A Walk on the Moon,1999,D:T.Goldwyn,PU:,SU:,prc,"Drame, Romance",
VFu10,Paulina,1999,D:Funari,PU:,SU:,prc,Documentaire,
xCh10,The Emperor and the Assassin,1999,D:x.Chen,PU:,SU:,prc,Epic,
Z9915,Message in a Bottle,1999,D:UnYear99,PU:,S:Warners,col,Romance,
Z9920,Cruel Intentions,1999,D:UnYear99,PU:,SU:,prc,Comédie,
Z9925,The Color of Courage,1999,D:UnYear99,PU:,SU:,TV,Drame,
Z9930,Sachem Farm,1999,D:UnYear99,PU:,SU:,prc,Drame,
Z9933,The Governess,1999,D:UnYear99,PU:,SU:,prc,Drame,
Z9935,Circle of Friends,1999,D:UnYear99,PU:,SU:,prc,Drame,
Z9937,Sleepers,1999,D:UnYear99,PU:,SU:,prc,Drame,
Z9939,An Ideal Husband,1999,D:UnYear99,PU:,SU:,prc,Drame,
ArH240,"Burn, Hollywood, Burn: An Alan Smithee Film",1998,D:Hiller,P:Esterhaz,S:Buena Vista,col,Comédie,aw
ShI55,The Eel,1998,D:Imamura,PU:,SU:,prc,Drame,
IFr52,Ronin,1998,D:Frankenheimer,PN:Frank Macusi jr.,S:U.A.  SD:MGM,prc,Suspense,
SS34,Saving Private Ryan,1998,D:Spielberg,"PN:Spielberg, Ian Bryce","S:DreamWorks, SD:Paramount",col,Drame,"AAN, AA dir"
AVa17,A hundred and one nights,1998,D:Varda,PU:,SU:,prc,Drame,
PY37,An Innocent Man,1998,D:Yates,"PN:Ted Fried, Roland Croft",S:Touchstoners,col,"Action, Drama, Crime, Policier",
RD43,Lethal Weapon 4,1998,D:R.Donner,PU:,St:Warners,col,Action,aw
SP75,Random,1998,D:S.Pollack,PU:,SU:,col,Drame,aw
ILa62,Blues Brothers 2000,1998,D:Landis,PU:,SU:,col,"Comédie, Musicale",
MAp50,Extreme Measures,1998,D:Apted,PN:Elizabeth Hurley,SU:,col,"Action, Drama, Crime, Policier, Drame",
RuT36,Tigerstreifenbaby wartet auf Tarzan,1998,D:Thome,PU:,SU:,prc,"Comédie, Romance",
CCG24,Mad City,1998,D:CostaGavras,PU:,SU:,col,Drame,
IBo35,The General,1998,D:Boorman,PU:,SU:,bnw,"Action, Drama, Crime, Policier, Biopic",
KLo55,Carla's Song,1998,D:Loach,PU:,SU:,prc,Romance,
FZe23,Tea with Mussolini,1998,D:Zefferelli,PU:,SU:,prc,"Historique, Romance",
JSg35,Crime and Punishment,1998,D:Sargent,P:Robert Halmi sr.,S:NBC:,prc,Drame,
VoS48,Palmetto,1998,D:Schlondorff,PN:Mathia Wendlandt,S:Castle Rock,col,Drame,aw
VoS49,The Ogre,1998,D:Schlondorff,PU:,SU:,prc,Drame,
BdP32,Snake Eyes,1998,D:dePalma,PU:,SU:,col,Suspense,
CAm30,A Couch in New York,1998,D:Akerman,PU:,SU:,prc,Romance,
IWa45,Pecker,1998,D:Waters,PU:,SU:,prc,Drame,
WA28,Celebrity,1998,D:Woody Allen,P:Jean Doumanian,S:Miramax,bnw,Comédie,
BRf395,Poodle Springs,1998,D:Rafelson,PU:,SU:,TV,Suspense,
RBe19,Twilight,1998,D:Benton,"P:Arlene Donovan, Scott Rudin",S:Paramount,col,Drame,aw
Tan21,Mia eoniotita ke mia mera,1998,D:Angelopoulos,PU:,SU:,prc,Drame,GP
HJ18,Deja Vu,1998,D:Jaglom,PU:,SU:,prc,"Comédie, Romance",
IvR25,"Six Days, Seven Nights",1998,D:Reitman,"PN:Reitman, Wallis  Icata, Roger Birnbaum",S:Touchstone,col,Aventure,"NYC, NY; islands, South Pacific"
PWr21,The Truman Show,1998,D:Weir,"PN:Scott Rudin, Audrey Niccol",S:Paramount,col,Drame,AAN dir
TMa11,The Thin Red Line,1998,D:Malick,PU:,St:Fox,col,Drame,AAN
ICa27,Vampires,1998,D:Carpenter,PN:Sandy King,S:Columbia,prc,Horreur,
JDe35,Beloved,1998,D:J.Demme,PU:,SU:,prc,Drame,-
JDe36,Storefront Hitchcock,1998,D:T.Demme,PU:,SU:,prc,"Biopic, Musicale",
PaC24,Ceux qui m'aiment prendront le train,1998,D:Chereau,PU:,SU:,prc,Drame,
TGi9,Fear and Loathing in Las Vegas,1998,D:Gilliam,PN:Patrick Cassavetti,S:UniversaL,prc,Drame,
BBa5,One Tough Cop,1998,D:B.Barreto,PU:,SU:,prc,"Action, Drama, Crime, Policier",
JoD40,Small Soldiers,1998,D:Dante,PU:,SU:,prc,"Aventure, Animation ",
WiW29,City of Angels,1998,DN:Brad Silberling,"PN:Dawn Steel, Arnon Milchan",S:Warners,prc,Drame,
CSr30,Tango,1998,D:Saura,PU:,SU:,prc,Drame,
MPr25,Saint Maybe,1998,D:M.Pressman,PU:,"S:Hallmark, SD:CBS",TV,Drame,
SRi18,A Simple Plan,1998,D:Raimi,PU:,S:Paramount,col,Suspense,ES++
GeM30,Babe: Pig in the City,1998,D:Geo.Miller,PU:,S:Universal,col,"Comédie, Fantasy",
JTo15,Two Girls and a Guy,1998,D:Toback,PU:,SU:,col,Comédie,
WBe15,Bulworth,1998,D:Beatty,P:Beatty,SU:,prc,Comédie,
ABr9,The Muse,1998,D:A.Brooks,PU:,SU:,prc,Comédie,
HBe20,Mercury Rising,1998,D:H.Becker,PU:,SU:,prc,"Action, Drama, Crime, Policier",
MBr25,Meet Joe Black,1998,D:Brest,PU:,SU:,prc,Drame,
DDo25,Bin Ich schoen?,1998,D:Dorrie,PU:,SU:,prc,Drame,
Pal20,Carne Tremula,1998,D:Almodovar,PU:,SU:,col,"Drame, Romance",
RR5,The Horse Whisperer,1998,D:Redford,P:Redford,SU:,col,"Romance, Western",
SuG25,Lost in Space,1998,D:St.Gordon,PU:,SU:,col,SciFi,
BLe21,Wag the Dog,1998,D:B.Levinson,PU:,SU:,col,Comédie,aw
BLe22,Sphere,1998,D:B.Levinson,PU:,St:Warners,col,SciFi,aw
IDu28,Lawn Dogs,1998,D:Duigan,PU:,SU:,prc,Drame,
NeJ28,The Butcher Boy,1998,D:N.Jordan,PU:,SU:,prc,Drame,
RiB30,City Heat,1998,D:Benjamin,P:Fritz Manes,S:Malpaso SD:Warners:,col,Drame,
RT30,Without Limits,1998,D:Towne,PU:,S:Warners,prc,Biopic,
WaW15,Chinese Box,1998,D:Wang,PU:,SU:,prc,Romance,
RMw15,Nicholas - a Child's Heart Lives On,1998,D:Markowitz,PU:,SU:,prc,Documentaire,
ToS25,Enemy of the State,1998,D:T Scott,P:Jerry Bruckheimer,SU:,prc,Suspense,
AvW19,Little Tony,1998,D:vanWarmerdam,PU:,SGraniet:,prc,Drame,
ILt17,A Bug's Life,1998,D:Lasseter,PU:,S:Pixar SD:Disney,col,Animation,
HoD24,The Odd Couple II,1998,D:Deutsch,PU:,S: Paramount,prc,Comédie,
SpJ11,He Got Game,1998,D:Spike Lee,"PN:Spike LEE, John Kilik",S:40 Acres and a mule  SD:Buena Vista,col,Drame,
CCo11,Stepmom,1998,D:Columbus,PU:,SU:,prc,Drame,
DMa20,The Spanish Prisoner,1998,D:Mamet,PU:,S:Sony,prc,"Fantasy, Suspense",
ADv22,A Perfect Murder,1998,D:A.Davis,"PN:Arnold Koppelson, Anne Koppelson, Christopher  Mankewicz, Peter MacGregor Scott",S:Warners:,Tcol,Suspense,
BiA10,Les Miserables,1998,D:August,PU:,SU:,col,Drame,aw
GvS12,Psycho,1998,D:vanSant,PU:,SU:,prc,Drame,
LvT21,The Kingdom,1998,D:vonTrier,PU:,SU:,prc,Documentaire,
POC26,Dancing at Lughnasa,1998,D:OConnor,PU:,SU:,prc,Drame,
ViW15,What Dreams May Come,1998,D:V.Ward,PU:,SU:,col,"Fantasy, Romance",boring
ChG18,Almost Heroes,1998,D:Ch.Guest,PU:,SU:,prc,Comédie,
ClZ19,Asterix & Obelisk,1998,D:Zidi,PU:,SU:,col,Comédie,
Ezw9,Siege,1998,D:Zwick,PU:,SU:,prc,Action,
JSh8,The Boxer,1998,D:Sheridan,PU:,SU:,col,Drame,aw
KBr20,The Theory of Flight,1998,D:Branagh,PU:,SU:,col,Drame,
MLm5,My Giant,1998,D:M.Lehman,PN:Schindler,"S:Castle Rock, SD:Columbia",col,Comédie,
StS10,Out of Sight,1998,D:Soderbergh,PU:,S:Universal,col,Action,
TSz1,"Fear, Anxity, & Depression",1998,D:Solondz,PU:,SD:Goldwyn,prc,Drame,
TSz10,Happiness,1998,D:Solondz,PU:,SU:,prc,"Comédie, Noir",
ACu23,Great Expectations,1998,D:Cuaron,PU:,SU:,col,Drame,aw
HlH9,Henry Fool,1998,D:Hartley,PU:,SU:,prc,Drame,
IDa19,Rounders,1998,D:Dahl,"PN:Joel Stellerman,",SU:,Tcol,Drame,
SnT28,Mr. Magoo,1998,D:Tong,PU:,S:Disney,prc,"Action, Comédie",
WhS5,The Last Days of Disco,1998,D:Stillman,PU:,S:CastleRock,prc,Romance,
WhS6,Chloe,1998,D:Stillman,PU:,SU:,prc,Drame,
YZh14,"East Palace, West Palace",1998,D:Y.Zhang,PU:,SU:,prc,Drame,
ByS15,Apt Pupil,1998,D:B.Singer,PU:,SU:,prc,Suspense,
NBr17,Kurt & Courtney,1998,D:Broomfield,PU:,SU:,prc,Documentaire,
SLe15,Knock Off,1998,D:Lettich,PU:,SU:,prc,Drame,
Tki7,Fireworks,1998,D:Kitano,PU:,SU:,prc,Drame,
BKi19,Swept from the Sea,1998,D:Kidron,PU:,SU:,col,Drame,aw
CVi16,La seperation,1998,D:Vincent,PU:,SU:,prc,Drame,
KWW14,The Big Hit,1998,D:Wong,PU:,SU:,prc,Action,
NoE8,You've got Mail,1998,D:N.Ephron,PU:,S:Warners,col,"Comédie, Romance",
PCh15,The Mighty,1998,D:Chelsom,PU:,SU:,col,Drame,
RlE22,Godzilla,1998,D:Emmerich,PU:,SU:,prc,SciFi,
RrB18,La Vita e Bella,1998,D:Benigni,PU:,SD:Miramax,col,Drame,AA foreign
THk16,From the Earth to the Moon:,1998,D:Hanks,P:Hanks,S:HBO,TV series,Drame,
TDe18,Monument Ave.,1998,D:T.Demme,PU:,SU:,prc,"Action, Drama, Crime, Policier",
VyK15,A Friend of the Deceased,1998,D:Krishtofovich,PU:,SU:,prc,Drame,
Ady3,The 92 Minutes of  Mr. Baum,1998,D:Dayan,PU:,SU:,prc,"Comédie, Drame",
IMd17,Shakespeare in Love,1998,D:Madden,PN:Harvey Weinstein,St:Miramax,col,"Biopic, Musicale, Romance","AAN, AAN dir"
KHt5,Floating World,1998,D:Hatta,PU:,SU:,prc,Drame,
MaH15,Dangerous Beauty,1998,D:Herskovitz,PU:,SU:,col,Drame,
MWid16,Go Now,1998,D:Winterbottom,PU:,SU:,prc,Drame,
MoF6,Desert Blue,1998,D:Freeman,PU:,SU:,prc,Drame,
SHk15,Holy Man,1998,D:Herek,PU:,SU:,prc,Comédie,
SSo15,Deep Rising,1998,D:Sommers,PN:,SU:,prc,Horreur,aw
StZ5,A Civil Action,1998,D:Zaillian,PU:,S:Paramount,col,"Documentaire, Drame",
APr12,The Dark City,1998,D:Proyas,PU:,SU:,col,Noir,aw
IsM14,A Soldier's Daughter Never Dies,1998,D:Merchant,P:Ivory,SU:,col,"Biopic, Drame",
MtC15,The Mask of Zorro,1998,D:M.Campbell,P:David Foster,"S:Amblin, SD: Tristar",col,Aventure,
NHy15,The Object of my Affection,1998,D:Hytner,PU:,SU:,col,"Comédie, Romance",
PFr15,There's Something About Mary,1998,D:Farrelly,P:Bobby Farrelly,S:Fox,prc,"Comédie, Romance",
AMt15,Artemisia,1998,D:Merlet,PU:,SU:,prc,Biopic,
BGt13,Wilde,1998,D:B.Gilbert,PU:,S:Sony,col,Biopic,
BTh13,Dr.Dolittle,1998,D:B.Thomas,PU:,SU:,Tcol,Comédie,
DCn12,I Still Know What You Did Last Summer,1998,D:Cannon,PU:,SU:,prc,Horreur,
JPy12,The Quest for Camelot,1998,D:Pytka,PU:,SU:,col,Animation,aw
MBy5,Armageddon,1998,D:Bay,P:Jerry Bruckheimer,SU:,col,Catastrophe,
TdC15,Lawn Dogs,1998,D:diCillo,PU:,SU:,prc,Drame,
YvA13,Voleur du Vie,1998,D:Angelo,PU:,SU:,prc,Drame,
ASf10,I'll be Home for Christmas,1998,D:Sanford,PU:,SU:,prc,Comédie,
BdA2,"Next Stop, Wonderland",1998,D:B.Anderson,PU:,SU:,prc,Comédie,Deauville
LOb13,Hope Floats,1998,D:Obst,PU:,SU:,prc,Romance,
MeC10,Femme Fatale,1998,D:Cruper,PU:,SU:,col,Porn,
RaR12,Shattered Image,1998,D:Ruiz,PU:,SU:,col,Drame,SE--
WeA10,Rushmore,1998,D:W.Anderson,PU:,S:Disney,prc,Comédie,
ATn11,Ever After,1998,D:Tennant,PU:,SU:,col,Romance,
Bhu7,The Spy,1998,D:B.Hughes,PU:,SU:,prc,Drame,
BvL10,De Versterking,1998,D:vanLieshout,PU:,SU:,prc,Drame,
CKl4,Un Air de Famille,1998,D:Klapisch,PU:,SU:,prc,Noir,
DLe2,The Landgirls,1998,D:Leland,PN:Simon Relph,S:Polygram,prc,Drame,
GfD11,Practical Magic,1998,D:G.Dunne,PN:Denise diNovi,"S:Village Roadshow, SD:Warners",col,Romance,
IPq15,Mulan,1998,D:Pasquin,PU:,SU:,prc,Animation,
JKf10,Bad Manners,1998,D:Kaufer,PU:,SU:,prc,"Comédie, Noir",
MHe15,Little Voice,1998,D:M.Herman,PU:,SU:,col,Drame,SE++
MmL12,Deep Impact,1998,D:M.Leder,"PN:Richard, Zanuck, David Brown",S:Dreamworks SD:Paramount,"Tcol, DeLuxe",Catastrophe,
NLB11,Your Friends and Neighbors,1998,D:LaBute,PU:,SU:,prc,Comédie,
STu11,The Impostors,1998,D:Tucci,"PN:Elizabeth W. Alexander, Tucci",S:Fox,prc,Comédie,
TVb10,The Celebration,1998,D:Vinterberg,PU:,SU:,prc,Drame,
XWZ15,The Emperor's Shadow,1998,D:Zhou,PU:,SU:,prc,"Epic, Historique",
Z9788,The Prince of Egypt,1998,D:UnYear97,PU:,S:Dreamworks,col,Animation,SE++
AAm10,Open Your Eyes,1998,D:Amenabar,PU:,SU:,prc,Suspense,
AKl10,Sue,1998,D:Kollek,PU:,SU:,prc,Drame,
ACh10,A chinese Ghost Story: The Tsui Hark Animation,1998,D:A.Chen,P:Hark,SU:,prc,Animation,
ASt10,Ankhon Mein Tum Ho,1998,D:Samanta,PU:,SU:,prc,"Drame, Romance",
AtB10,Priest,1998,D:Bird,PU:,SU:,prc,Drame,
ATk10,Hilary and Jackie,1998,D:A.Tucker,PU:,SU:,prc,Biopic,
AxB10,Brother,1998,D:Balabanov,PU:,SU:,prc,Drame,
BCo10,Gods and Monsters,1998,D:Condon,PU:,SD:LionsGate,col,"Biopic, Drame",
BrD10,La vie de Jesus,1998,D:Dumont,PU:,SU:,prc,Drame,
BPl10,BPl1<BPl10td> T:I Married  a Strange Person,1998,D:Plympton,PU:,SU:,prc,Animation,
CAd10,Under the Skin,1998,D:C.Adler,PU:,SU:,prc,Drame,
CLi10,Jenseits der Stille,1998,D:Link,PU:,SU:,prc,Drame,
CrC10,The X-files,1998,D:Carter,PU:,SU:,prc,SciFi,
DAr10,PI,1998,D: Aronofsky,PU:,SU:,prc,Drame,
DDk10,Clay Pigeons,1998,D:Dobkin,PU:,SU:,prc,"Suspense, Western, Noir",
DEl10,Kissing a Fool,1998,D:Ellen,"P:Tag Mendillo, Andrew Form, Rick Lashbrook",S:Universal,col,Comédie,
DMc1,Cousin Bette,1998,D:McAnuff,PU:,SU:,prc,Drame,
DRo10,The Opposite of  Sex,1998,D:Roos,PU:,S:Sony,prc,"Comédie, Noir",
DvD10,Hero No.1,1998,D:Dhavan,PU:,SU:,prc,Comédie,
EBr10,Ten Benny,1998,D:Bross,PU:,SU:,prc,Drame,
EDr10,River Red,1998,D:Drilling,PU:,SU:,prc,Drame,
EHe10,Port Djema,1998,D:Heumann,PU:,SU:,prc,Aventure,
ESk10,Insomnia,1998,D:Skjoldbjaerg,PU:,SU:,prc,Suspense,
EwD10,Antz,1998,D:Darnell,PU:,S:Dreamworks,col,"Comédie, Animation",aw
FCr10,The Wedding Singer,1998,D:Coraci,PU:,S:New Line,prc,"Comédie, Romance",
Fdu10,Quest for Camelot,1998,D:duChau,PU:,SU:,prc,Animation,
FOp10,Steam: The Turkish Bath,1998,D:Opetek,PU:,SU:,prc,Comédie,
FWh10,Hope Floats,1998,D:Whitaker,PU:,SU:,prc,Drame,
GGy10,The Negotiator,1998,D:G.Gray,"P:David Hoberman,  Milchan",SD:Warners,col,"Action, Drama, Crime, Policier",
GHa10,Hope,1998,D:Hawn,PU:,SU:,prc,Drame,
GyR10,Pleasantville,1998,D:G.Ross,PU:,S:New Line,"bnw, col","Comédie, Fantasy",
HpS10,Minus Man,1998,D:Sancher,PU:,SU:,prc,Drame,
IFo10,A Night at the Roxbury,1998,D:Fortenberry,PU:,SU:,prc,Comédie,
IKu10,Ishq,1998,D:Kumar,PU:,SU:,prc,"Comédie, Romance",
IRo10,Paulie,1998,D:J.Roberts,PU:,SU:,col,"Comédie, Famille",
IPi10,Strangeland,1998,D:Pieplow,PU:,SU:,prc,Suspense,
JBk10,Urban Legend,1998,D:Blanks,"P:Neal Moritz, Gina Matthews","S:Phoenix, SD:Tristar",prc,Horreur,
JDm10,Arguing the World,1998,D:Dorman,PU:,SU:,prc,Biopic,
JfB10,Rear Window,1998,D:Bleckner,PU:,"S:Hallmark, SD:ABC",prc,Suspense,
JHa10,H.C. Andersen og den Skoeve Skygge,1998,D:Hastrup,PU:,SU:,prc,Animation,
JHq10,Babymother,1998,D:Henriques,PU:,SU:,prc,Musicale,
JJC10,Love Walked In,1998,D:Campanella,PU:,SU:,prc,Noir,
JKr10,Left Luggage,1998,D:Krabbe,PU:,SU:,prc,"Comédie, Drame",
JoK10,Zero Effect,1998,D:J.Kasdan,PU:,SU:,prc,Drame,
JPe10,"First Love, Last Rites",1998,D:Peretz,PU:,SU:,prc,Drame,
JSp1,Clockwatchers,1998,D:Sprecher,PU:,SU:,col,Comédie,
JKt10,The Prince of Egypt,1998,D:Katzenberg,P:Katzenberg,St:Dreamworks,col,Animation,
KJo10,Waking  Ned Divine,1998,D:K.Jones,PU:,SU:,prc,Drame,
KLg10,Divorce Iranian Style,1998,D:Loginotto,PU:,SU:,prc,Documentaire,
LCl10,High Art,1998,D:Cholodenko,PU:,SU:,prc,"Drame, Porn",
MaA10,Down in the Delta,1998,D:Angelou,PU:,SU:,prc,Drame,
